pc0,pc1,pc2
3.21518731,-0.0474707894,-0.59563756
1.83803356,-0.321978271,-0.0665814355
-1.36970556,0.432184488,0.29220584
3.48187995,-1.25299037,-0.836173236
-1.50190246,0.505756676,-0.064457804
0.150136545,0.515686035,0.208715886
-1.38758099,1.24643874,-0.0393031687
3.10415363,0.374245971,-0.998109579
4.50476074,0.509009957,0.167101249
-0.937661827,0.684956074,0.242990255
1.63637507,0.279541641,0.595385373
-2.02842855,2.53483939,-0.221142352
-3.37826824,-1.28495789,-0.174806818
-1.77527428,-0.821508408,-1.12590468
-3.49796748,0.858692288,0.191397369
3.33856153,0.587952018,-0.287519872
1.24732566,-0.651322603,-1.68103123
0.503537297,0.653864324,-1.01142013
-2.99511456,-0.146727756,2.27351022
-1.67005992,-0.846725464,-0.278256267
0.59063822,2.99297142,0.277407765
2.4278686,-0.744221389,-2.40258694
-1.25334966,-0.314266622,-0.564916968
1.9776094,0.179915339,-2.26161218
1.17004716,0.757560074,-0.182644963
-0.261436075,0.342146486,-0.371247947
-1.58957541,-0.502706468,0.742835402
1.87419224,0.382626981,0.244739324
-1.25050294,0.0246280674,1.90385759
-1.47156596,-0.554563284,2.95575094
0.748202145,0.740578771,0.0643929169
-4.07452917,-1.21339989,0.834555149
0.600202203,0.321277797,-0.155587777
3.78526616,1.03857756,-2.80013418
-3.31407547,-0.130311102,0.669188261
1.34697139,-1.300565,-1.25259817
-1.71758008,0.300385565,0.480746806
1.63877189,-1.27766514,-0.612243652
0.307193547,1.30795026,-0.136303172
4.85812807,-1.04036164,-1.44292772
-0.884308159,2.1991117,-0.347702354
-2.11523318,-1.45953619,0.75477457
-2.08206844,1.32473743,0.987493217
0.219841152,-0.871064603,0.0136243887
-1.06379426,0.974153697,-0.292539656
-1.55985212,0.271786958,0.000156995317
-0.183068052,-0.000716649462,0.689148486
3.63671708,-0.671875536,0.247387812
4.90304852,-0.0356431268,-0.337231636
0.943322003,1.17346072,0.105518341
-0.536173224,0.0356782153,-0.219336554
1.25708914,0.551135361,2.81301403
1.48578906,-0.73237133,0.193173304
0.20210807,-1.11523032,-0.29171288
0.664210498,-0.0844868347,-0.949930191
-0.524818361,0.119341798,-0.649720192
-1.08669472,0.868700385,1.89513111
3.17696762,-0.739681125,-0.413097918
-2.45442867,0.71316576,0.412855327
-0.340936124,-0.451761752,0.516247749
-6.16507864,1.29000723,1.31195116
0.375099927,-0.419389248,-0.650193036
2.70111156,1.27950871,-1.16930819
-1.0485152,0.493929982,0.957190096
3.66534877,1.34897196,0.00133946666
-1.41224742,1.29926682,-0.378773898
-2.75390887,0.399832636,0.248370796
1.37630188,-0.656506538,-0.194854274
3.63411689,0.715888441,-0.18304114
-1.08241868,0.99433285,-0.701802433
1.61130369,-0.238437563,-0.774209321
3.33961248,-1.70431042,-0.803130388
0.308147967,0.273264915,0.478679925
3.30141878,-1.3568027,-0.0902345479
-0.604578257,0.421921194,0.882692575
-1.42607808,1.72407246,2.5547266
0.877689064,1.08556604,4.00179434
0.423790485,-1.52626753,2.07058287
-2.86562037,0.0226803422,3.95465374
1.68381989,-0.61976254,-2.69596148
3.22619176,-1.31699443,-2.88275051
1.94872487,0.628240705,-1.31382668
1.1527288,0.547344744,-0.974434793
-1.03460896,1.10015774,-1.25458074
1.17719257,-0.84231317,2.10133052
0.223930776,0.812599003,4.04909754
-0.261829883,-1.15447915,2.40882659
-2.42990637,0.919986963,-0.166358098
4.09954786,-1.00844002,-0.168032974
-2.31178832,0.0547211505,1.12757862
1.04481339,-0.391436219,-1.18613434
-2.0234735,0.686649978,1.15744185
2.37703729,0.139962241,-0.3596358
-1.32156181,0.968097687,-0.240246385
