XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
0.2775231,2.46350789,1.12447035,0.813225031,1.94995713,1.27735102,0.687133372,1.42183173,-0.358891129
1.24763036,-0.196874902,-0.304244012,0.360910088,0.516835213,0.962405443,1.51452994,-0.25463739,1.48781157
-0.654088378,-0.618029475,-0.305789351,-0.750629902,-1.32659054,0.368127048,-0.603467762,0.15372771,-0.439462066
1.48517084,2.24700594,0.534857035,0.585474432,1.92351127,1.04066062,1.20409179,0.153227761,1.34253037
-0.604406238,-0.667753398,-0.855159163,-0.230901003,-0.775898635,-0.358601928,-0.209001407,-0.254192978,-0.688491046
-0.105684094,-0.791298032,-0.0867970362,-0.530491948,0.942223549,0.601682663,0.755838275,-0.255083472,-0.310467601
-0.441525072,-0.857333899,-0.0499065891,-0.00878660288,-0.237456456,-1.08074367,-0.835077107,0.677251458,-1.34225142
1.1460067,0.762869716,-0.309526026,0.512918711,1.35653007,1.51289594,1.61416376,1.52188909,0.974667192
1.93605578,1.23074996,1.77904987,1.74398446,1.43909836,1.57517815,1.15812016,1.75860715,0.83625257
-0.102604434,-1.20566535,-0.265413046,0.847501576,-0.439203173,-0.675672114,-0.529185772,-0.213509187,-0.309713542
0.0584040359,-0.436490208,0.239511028,0.344179511,1.06283915,0.538481832,2.24381757,0.225638568,0.451894015
-0.38509649,-2.13882661,-1.06648088,-0.859663367,0.181752592,-0.723447442,0.120507605,0.578208208,-2.23618698
-1.86593091,-0.816493571,-0.863054335,-1.60303748,-0.383583516,-0.919983327,-1.75716877,-1.69837022,0.0299671181
0.309264958,0.167620555,-0.838525653,-0.748680711,-0.851794779,-1.94822729,-1.51797616,-0.0492129587,0.547730267
-1.61026227,-2.00750065,-1.08186197,-1.4420191,-0.754672587,-0.364296377,-1.16477942,-0.863682985,-1.40138698
0.860029042,1.1068064,0.82864362,1.57320666,1.17399859,1.24120724,0.991441309,1.76185262,0.379407972
-0.063859798,-1.20430732,-0.0129510146,-0.306697577,2.47531056,-0.166768804,-1.26412666,2.05732346,2.72681594
1.13770223,0.296331197,-0.47041133,0.40044108,0.477766752,-0.36076951,-0.258202314,0.533516109,-0.350917011
-0.682486832,-1.59528601,0.444509268,-1.01863682,-3.17951894,-0.655151725,-0.307924241,-1.62017429,-0.309855759
0.308872789,-0.527391732,-0.317502946,-0.387457788,-0.387160152,-1.50369954,-1.34784663,-1.11094391,0.53647244
-0.187390864,-0.273310751,-0.089352265,0.445316762,0.701707423,1.21461618,1.31710911,1.04127192,-3.14953303
1.61348116,2.38923049,-0.550741255,0.0288858693,0.38816914,-0.022084048,-0.211115316,2.3885181,1.59116161
-0.102976918,1.35086513,-1.02582145,-0.729001462,-0.901249588,0.564376771,-0.556622684,-1.33365381,-1.26827049
0.702444255,1.81981528,-0.32837984,0.824311256,1.62099183,0.0752157941,-0.860532761,2.09069872,0.117360413
0.45679155,0.225172609,-0.0129510146,1.1813432,-0.0237105265,0.462533593,0.333930969,0.86916846,-0.144051954
0.136804223,-0.442122906,-0.569326103,-0.973840117,0.484074652,0.0744654164,0.529875219,0.0291625112,-0.187951386
